full_date,date,weekday,time,mood,activities,note_title,note
2024-12-08,December 8,Sunday,13:40,meh,"unsure","",""
2024-12-07,December 7,Saturday,07:00,meh,"unsure | stressed | sad | desperate | bad sleep | sleep early | gaming | eat healthy | drink water | walk | no sweets | listen | make list | focus | storm | wind | study","",""
2024-12-06,December 6,Friday,07:00,meh,"unsure | bored | anxious","",""
2024-12-05,December 5,Thursday,07:00,good,"","",""
2024-12-04,December 4,Wednesday,07:00,meh,"unsure | bad sleep | gaming | eat healthy","",""
2024-12-03,December 3,Tuesday,07:00,bad,"unsure | bad sleep | gaming | eat healthy | drink water","",""
2024-12-02,December 2,Monday,07:00,meh,"unsure | bad sleep | gaming","",""
2024-12-01,December 1,Sunday,07:00,good,"unsure | bored | bad sleep | movies | gaming | eat healthy","",""
2024-11-30,November 30,Saturday,18:55,good,"happy | excited | bad sleep","",""
2024-11-29,November 29,Friday,13:26,meh,"bored","",""
2024-11-28,November 28,Thursday,07:00,bad,"unsure | bored","",""
2024-11-27,November 27,Wednesday,03:37,awful,"unsure | bored | anxious | stressed | sad | desperate | bad sleep | movies | gaming | drink water | fast food | homemade | listen | rain | storm | wind","",""
2024-11-26,November 26,Tuesday,20:34,bad,"tired | bored | stressed | sad | desperate | bad sleep | gaming | relax | drink water | fast food | homemade | listen | take a break | shopping | clouds | rain","","Stress, pengen pensi aja dah"
2024-11-03,November 3,Sunday,20:51,meh,"bored | bad sleep | gaming | eat healthy | drink water | homemade | take a break | cooking | rain | study | homework | group project","",""
